Morris,1,2,0.0012939578924741572,0.5000000000000001
Sobol,1,2,0.033012997133889006,0.4681666262233362
Fast,1,2,0.2452920253119399,0.2693107799888269
RDB-Fast,1,2,0.1413922121556402,0.69502038074259
Delta,1,2,0.0635720904877357,0.34020617561941474
DGSM,1,2,0.0007308654453387062,0.49999999999999983
R2,1,2,7.19588827816621e-07,0.5
Pearson,1,2,0.02707428118088246,0.3462988043247339
RF,1,2,0.007965932613511867,0.5000000000000001
Linear,1,2,0.04350400803442785,0.5
Morris,2,2,1.7263534141291796e-14,0.49999999999999994
Sobol,2,2,0.002466860702042286,0.5010687774058725
Fast,2,2,0.4848853076300794,0.288633722150938
RDB-Fast,2,2,0.2642567158103962,0.7109853777472604
Delta,2,2,0.18978788115619546,0.3049097248971734
DGSM,2,2,2.252966845704439e-28,0.5
R2,2,2,1.7521425268292454e-15,0.5
Pearson,2,2,0.03187365398236669,0.23903712115553877
RF,2,2,0.041406872996634043,0.5
Linear,2,2,0.1208658340227852,0.5
Morris,3,2,0.0006044963451268254,0.5
Sobol,3,2,0.006244186211317823,0.5264936323412298
Fast,3,2,0.5191065065937865,0.22735021536412603
RDB-Fast,3,2,0.2515830713799888,0.701507244613566
Delta,3,2,0.050187381589219794,0.422425929626166
DGSM,3,2,0.00023234736749422796,0.5
R2,3,2,2.3666068489463638e-07,0.5
Pearson,3,2,0.01140493268771931,0.49434395314344626
RF,3,2,0.011058852875204538,0.49999999999999994
Linear,3,2,0.007241817937615372,0.49999999999999994
Morris,4,2,0.0014689646757729755,0.5
Sobol,4,2,0.05649390576160882,0.6140242551232191
Fast,4,2,0.1479258141937863,0.23834782662498527
RDB-Fast,4,2,0.13745097094763073,0.6906468952813922
Delta,4,2,0.0932900090686678,0.3206541634842527
DGSM,4,2,0.025067565357057075,0.5
R2,4,2,2.3634336660149197e-06,0.49999999999999994
Pearson,4,2,0.020676812419059366,0.4899726210626758
RF,4,2,0.02911307504362214,0.5
Linear,4,2,0.015739749034069956,0.49999999999999994
Morris,5,2,6.329087279742553e-33,0.5
Sobol,5,2,0.010154662678507263,0.5295194123401131
Fast,5,2,0.604620206055045,0.20083257464304935
RDB-Fast,5,2,0.2549537900627951,0.6912891851940886
Delta,5,2,0.0272416529240627,0.4851764279170054
DGSM,5,2,2.302634611748924e-28,0.5
R2,5,2,1.4112242314740721e-05,0.49999999999999994
Pearson,5,2,0.019646612577748405,0.5997249966557717
RF,5,2,0.0058850325870297895,0.49999999999999994
Linear,5,2,2.0631524529248264e-32,0.5
Morris,6,2,0.0017333737015079267,0.49999999999999994
Sobol,6,2,0.0070570709699362385,0.4759388677921068
Fast,6,2,0.42159580422379583,0.20835580007232984
RDB-Fast,6,2,0.21932590760652557,0.6897282879677616
Delta,6,2,0.0225744626486694,0.4452569408353817
DGSM,6,2,4.745517043436376e-06,0.5
R2,6,2,6.664176959713104e-13,0.5
Pearson,6,2,0.012593021241358904,0.6161325601636366
RF,6,2,0.005485022223233218,0.5
Linear,6,2,0.0026857467688536454,0.5
Morris,7,2,0.0026704389969873935,0.49999999999999994
Sobol,7,2,0.20459894121101926,-0.038517648340742366
Fast,7,2,0.04099731601352012,0.1849212717160701
RDB-Fast,7,2,0.3758352821885406,0.4862366587008336
Delta,7,2,0.008528460715543591,0.11734419733394613
DGSM,7,2,0.22813265230486426,0.5
R2,7,2,1.5485200786656533e-07,0.49999999999999994
Pearson,7,2,0.024116910173312932,0.1744961931865433
RF,7,2,0.022077187518884184,0.5000000000000001
Linear,7,2,0.05902874968378735,0.5
Morris,8,2,0.00038482125686291433,0.5000000000000001
Sobol,8,2,0.005589254554463142,0.5021897827184331
Fast,8,2,0.38851811603437647,0.24751975377114208
RDB-Fast,8,2,0.2515865256479076,0.6884714130203283
Delta,8,2,0.16811362479050315,0.2789128625163488
DGSM,8,2,4.69222873793003e-06,0.5000000000000001
R2,8,2,1.3159884605430034e-09,0.5000000000000001
Pearson,8,2,0.01974944148492116,0.415819452801974
RF,8,2,0.014975106497890855,0.5000000000000001
Linear,8,2,0.022833983477689248,0.5
Morris,9,2,0.008067384428381418,0.5
Sobol,9,2,0.25184253362468173,0.0375573654837078
Fast,9,2,0.04851252521966907,0.2062805155869487
RDB-Fast,9,2,0.35155345104035246,0.4849631856817424
Delta,9,2,0.01283300055967676,0.14620942744214366
DGSM,9,2,0.00037117772505345867,0.49999999999999994
R2,9,2,1.1695876973910733e-08,0.5
Pearson,9,2,0.030157296827083336,0.2522067987761834
RF,9,2,0.054617580925612266,0.5000000000000001
Linear,9,2,0.040205680825479956,0.49999999999999994
Morris,10,2,0.0009625204486841879,0.5000000000000001
Sobol,10,2,0.030935370378780323,0.49472792669956234
Fast,10,2,0.416398579571484,0.22594048881036272
RDB-Fast,10,2,0.24693105446300234,0.6679052999638924
Delta,10,2,0.05719349352011157,0.3927470058198113
DGSM,10,2,5.433140775159387e-08,0.5
R2,10,2,1.4737863093561066e-15,0.5
Pearson,10,2,0.019341089454203382,0.5173170987358503
RF,10,2,0.006859684821605108,0.49999999999999994
Linear,10,2,0.00982781091379234,0.5000000000000001
Morris,11,2,0.0007995686563875184,0.5
Sobol,11,2,0.04169416558158494,0.5139455045104693
Fast,11,2,0.42304789195735604,0.20853706153118118
RDB-Fast,11,2,0.230229689011857,0.6710926450318925
Delta,11,2,0.03335610556528127,0.44695562133075256
DGSM,11,2,1.457203379609328e-07,0.49999999999999994
R2,11,2,3.738684727603773e-16,0.49999999999999994
Pearson,11,2,0.0170914690940214,0.6005966108056675
