Morris,1,2,0.00045790722314031066
Sobol,1,2,0.005873119929617908
Fast,1,2,0.023189607155238528
RDB-Fast,1,2,0.010790838640126732
Delta,1,2,0.011017294101890913
DGSM,1,2,0.0008831292900048617
R2,1,2,1.113739718469814e-05
Pearson,1,2,0.0029438170515805897
RF,1,2,0.002021481837822096
Linear,1,2,0.004066336002311408
Morris,2,2,9.835750088713221e-10
Sobol,2,2,0.001105415650813174
Fast,2,2,0.02513131461282638
RDB-Fast,2,2,0.010947089649521874
Delta,2,2,0.016768641752982417
DGSM,2,2,5.595682361101662e-16
R2,2,2,6.14785892194547e-10
Pearson,2,2,0.004779109756204586
RF,2,2,0.005307546626970979
Linear,2,2,0.015743753440201666
Morris,3,2,0.00014015865275645944
Sobol,3,2,0.00246483317256318
Fast,3,2,0.027638540981013926
RDB-Fast,3,2,0.010803359908876833
Delta,3,2,0.008510758813196437
DGSM,3,2,0.00047832898340582214
R2,3,2,6.32349203787047e-06
Pearson,3,2,0.0017080936719672108
RF,3,2,0.0028644072912400597
Linear,3,2,0.0021071475652432786
Morris,4,2,0.0004447126133945584
Sobol,4,2,0.006155822155652085
Fast,4,2,0.019255305741079733
RDB-Fast,4,2,0.011543028250455879
Delta,4,2,0.014047972731424866
DGSM,4,2,0.005045682597412909
R2,4,2,2.109113917772576e-05
Pearson,4,2,0.0023687114551768328
RF,4,2,0.005435273273345874
Linear,4,2,0.0015432038618180541
Morris,5,2,3.4694469519536144e-19
Sobol,5,2,0.002480926312274292
Fast,5,2,0.02968545752503552
RDB-Fast,5,2,0.010696451334213875
Delta,5,2,0.005995885181782762
DGSM,5,2,6.716675826634598e-16
R2,5,2,5.559408537015448e-05
Pearson,5,2,0.002935711684892684
RF,5,2,0.00192003576319953
Linear,5,2,9.228728892196613e-18
Morris,6,2,0.00024616662785142474
Sobol,6,2,0.0030674779812697147
Fast,6,2,0.026097048206295985
RDB-Fast,6,2,0.011253454735380846
Delta,6,2,0.0050820750714862415
DGSM,6,2,7.995423379869789e-05
R2,6,2,1.1228208837421595e-08
Pearson,6,2,0.0019067685673052875
RF,6,2,0.002662195619293514
Linear,6,2,0.0005284689420075081
Morris,7,2,0.0003440682459364124
Sobol,7,2,0.013914955105345059
Fast,7,2,0.009139429671961971
RDB-Fast,7,2,0.017856405037421863
Delta,7,2,0.003496230309940249
DGSM,7,2,0.03422760693185562
R2,7,2,7.1383620874981845e-06
Pearson,7,2,0.0033927736439067916
RF,7,2,0.005862087443554453
Linear,7,2,0.004858885649569931
Morris,8,2,0.00033679341058228215
Sobol,8,2,0.002447554833390012
Fast,8,2,0.024216454817354238
RDB-Fast,8,2,0.011340764304602348
Delta,8,2,0.017279855653484767
DGSM,8,2,6.896265110181546e-05
R2,8,2,4.151916834876923e-07
Pearson,8,2,0.0022873552004141185
RF,8,2,0.003314931687884584
Linear,8,2,0.003336421375498797
Morris,9,2,0.0013914529018841152
Sobol,9,2,0.016254495902980018
Fast,9,2,0.007393024456849992
RDB-Fast,9,2,0.018519254698566422
Delta,9,2,0.0047622894815294225
DGSM,9,2,0.0005778945725028638
R2,9,2,1.6674811063882577e-06
Pearson,9,2,0.003914399364867842
RF,9,2,0.008781868788679075
Linear,9,2,0.0034423161614371076
Morris,10,2,0.00028072371650870423
Sobol,10,2,0.005065097744059
Fast,10,2,0.024632858115937857
RDB-Fast,10,2,0.011809640609501971
Delta,10,2,0.009919152452158355
DGSM,10,2,7.774751458851993e-06
R2,10,2,4.839737716144653e-10
Pearson,10,2,0.0025877854939803367
RF,10,2,0.0029828025074419727
Linear,10,2,0.002146190335053646
Morris,11,2,0.00017789580135752145
Sobol,11,2,0.005872703321840349
Fast,11,2,0.02585155595325378
RDB-Fast,11,2,0.011697282060223945
Delta,11,2,0.0067923138136225525
DGSM,11,2,1.2425594922086392e-05
R2,11,2,2.157918030376571e-10
Pearson,11,2,0.0018307917359656866
RF,11,2,0.0023963443619719966
Linear,11,2,0.0007388999424729483
Morris,12,2,1.0618484920919866e-05
Sobol,12,2,0.004999589175928958
Fast,12,2,0.025793303965441567
RDB-Fast,12,2,0.010979340300022539
Delta,12,2,0.018715890619533996
DGSM,12,2,3.080612028524257e-09
R2,12,2,1.736509824823429e-12
Pearson,12,2,0.004514181683917425
RF,12,2,0.003985273429491774
Linear,12,2,0.008723259024695711
Morris,13,2,0.0003803441572561103
Sobol,13,2,0.007098875819593989
Fast,13,2,0.020446995359841534
RDB-Fast,13,2,0.013479459288061052
Delta,13,2,0.006794534345031707
DGSM,13,2,6.850872441070814e-05
R2,13,2,5.0001393503620875e-06
Pearson,13,2,0.0017887867786250023
RF,13,2,0.004106969015916302
Linear,13,2,0.0027716702274368952
Morris,14,2,0.0007286603841580681
Sobol,14,2,0.006081044413876721
Fast,14,2,0.01929757226360295
RDB-Fast,14,2,0.013393961863195029
Delta,14,2,0.011789693911131657
DGSM,14,2,6.871180015488934e-06
R2,14,2,0.017467036550829505
Pearson,14,2,0.002797031778161939
RF,14,2,0.005421242939993254
Linear,14,2,0.003576036602503134
Morris,15,2,0.0004086075231586551
Sobol,15,2,0.005067780190199043
Fast,15,2,0.01654985886623769
RDB-Fast,15,2,0.013630297687998425
Delta,15,2,0.008564266102034155
DGSM,15,2,0.0007749824113883026
R2,15,2,4.897043306709147e-07
Pearson,15,2,0.0019031461017495678
RF,15,2,0.006819630023006921
Linear,15,2,0.0017718689577729302
Morris,16,2,0.0007720529146416998
Sobol,16,2,0.011721229838819194
Fast,16,2,0.011244178582040626
RDB-Fast,16,2,0.018070748033365117
